event_name,event_id,year
3M Open,525,2019
A Military Tribute at The Greenbrier,490,2018
ACCIONA Open de España,2021136,2021
AFRASIA BANK Mauritius Open,2020002,2019
AT&T Byron Nelson,19,2018
AT&T Pebble Beach Pro-Am,5,2018
AVIV Dubai Championship,2021157,2021
Aberdeen Standard Investments Scottish Open,2018058,2018
Aberdeen Standard Investments Scottish Open,2019060,2019
Aberdeen Standard Investments Scottish Open,2020060,2020
Abu Dhabi HSBC Championship,2021101,2021
Abu Dhabi HSBC Championship,2022103,2022
Abu Dhabi HSBC Championship,2023107,2023
Abu Dhabi HSBC Championship,2024141,2024
Abu Dhabi HSBC Championship,2025136,2025
Abu Dhabi HSBC Championship presented by EGA,2018008,2018
Abu Dhabi HSBC Championship presented by EGA,2019010,2019
Abu Dhabi HSBC Championship presented by EGA,2020008,2020
Adelaide,1012,2023
AfrAsia Bank Mauritius Open,2023105,2022
AfrAsia Bank Mauritius Open,2024105,2023
AfrAsia Bank Mauritius Open,2025104,2024
Afrasia Bank Mauritius Open at Anahita,2019003,2018
Alfred Dunhill Championship,2019006,2018
Alfred Dunhill Championship,2023104,2022
Alfred Dunhill Championship,2024104,2023
Alfred Dunhill Championship,2025103,2024
Alfred Dunhill Championship #1,2020001,2019
Alfred Dunhill Championship #2,2020104,2020
Alfred Dunhill Links Championship,2018080,2018
Alfred Dunhill Links Championship,2019082,2019
Alfred Dunhill Links Championship,2021135,2021
Alfred Dunhill Links Championship,2022137,2022
Alfred Dunhill Links Championship,2023142,2023
Alfred Dunhill Links Championship,2024137,2024
Alfred Dunhill Links Championship,2025133,2025
Amgen Irish Open,2024134,2024
Amgen Irish Open,2025129,2025
Amundi Open de France,2019088,2019
Andalucia,1024,2024
Andalucia Valderrama Masters hosted by the Sergio Garcia Foundation,2018084,2018
Aphrodite Hills Cyprus Showdown,2020101,2020
Arnold Palmer Invitational presented by Mastercard,9,2018
Australian PGA Championship,2019002,2018
Australian PGA Championship,2020003,2019
Austrian Alpine Open presented by SalzburgerLand,2025143,2025
Austrian Golf Open,2021152,2021
Austrian Open,2020731,2020
BMW Australian PGA Championship,2025100,2024
BMW Australian PGA Championship,2026100,2025
BMW Championship,28,2018
BMW International Open,2018052,2018
BMW International Open,2019054,2019
BMW International Open,2021119,2021
BMW International Open,2022121,2022
BMW International Open,2023128,2023
BMW International Open,2024126,2024
BMW International Open,2025120,2025
BMW PGA CHAMPIONSHIP,2021132,2021
BMW PGA Championship,2018044,2018
BMW PGA Championship,2019080,2019
BMW PGA Championship,2020078,2020
BMW PGA Championship,2022134,2022
BMW PGA Championship,2023139,2023
BMW PGA Championship,2024135,2024
BMW PGA Championship,2025130,2025
BMW SA Open hosted by the City of Ekurhuleni,2018004,2018
Bahrain Championship presented by Bapco Energies,2024109,2024
Bangkok,1006,2022
Bank of Utah Championship,554,2025
Bapco Energies Bahrain Championship,2025108,2025
Bapco Energies Bahrain Championship,2026107,2026
Barbasol Championship,518,2018
Barracuda Championship,472,2019
Baycurrent Classic,527,2025
Bedminster,1003,2022
Belgian Knockout,2018042,2018
Belgian Knockout,2019048,2019
Bermuda Championship,528,2019
Betfred British Masters,2019042,2019
Betfred British Masters,2023129,2023
Betfred British Masters hosted by Danny Willett,2021113,2021
Betfred British Masters hosted by Danny Willett,2022114,2022
Betfred British Masters hosted by Lee Westwood,2020066,2020
Betfred British Masters hosted by Sir Nick Faldo,2024132,2024
Betfred British Masters hosted by Sir Nick Faldo,2025127,2025
Black Desert Championship,554,2024
Boston,1004,2022
Butterfield Bermuda Championship,528,2021
Butterfield Bermuda Championship #2,548,2023
CHAU-SHI Series  Din Yue Open,10944,2025
CHAU-SHI Series - GIANT Open,11038,2025
CHAU-SHI Series - Nan Pao Open,10916,2025
CHAU-SHI Series Chang Wah Open,10775,2025
CHAU-SHI Series Chasing Dream Open,10961,2025
CHAU-SHI Series Da Jia Charity Open,10928,2025
CHAU-SHI Series Mizuno Open,10881,2025
CHAU-SHI Series Qing Lian HDF Open,10971,2025
CHAU-SHI Series Wealthy Family Open,11075,2025
CIMB Classic,494,2018
Cadence Bank Houston Open,20,2022
Canary Islands Championship,2021153,2021
CareerBuilder Challenge,2,2018
Catalunya Championship,2022151,2022
Cazoo Classic,2021128,2021
Cazoo Classic,2022127,2022
Cazoo Open de France,2022136,2022
Cazoo Open de France,2023140,2023
Cazoo Open supported by Gareth Bale,2021123,2021
Cazoo Open supported by Gareth Bale,2022129,2022
Celtic Classic,2020007,2020
Charles Schwab Challenge,21,2019
Chicago,1005,2022
Cognizant Classic in The Palm Beaches,10,2024
Commercial Bank Qatar Masters,2018018,2018
Commercial Bank Qatar Masters,2019024,2019
Commercial Bank Qatar Masters,2020022,2020
Commercial Bank Qatar Masters,2021105,2021
Commercial Bank Qatar Masters,2022106,2022
Commercial Bank Qatar Masters,2023150,2023
Commercial Bank Qatar Masters,2024147,2024
Commercial Bank Qatar Masters,2025142,2025
Corales Puntacana Championship,522,2022
Corales Puntacana Resort & Club Championship,522,2018
Corales Puntacana Resort & Club Championship #2,534,2021
Cyprus Open,2020100,2020
D+D REAL Czech Masters,2024144,2024
D+D Real Czech Masters,2018070,2018
D+D Real Czech Masters,2019070,2019
D+D Real Czech Masters,2021129,2021
D+D Real Czech Masters,2022131,2022
D+D Real Czech Masters,2023136,2023
DC,1015,2023
"DP WORLD TOUR CHAMPIONSHIP, DUBAI",2021143,2021
DP World India Championship,2025141,2025
DP World Tour Championship,2022143,2022
DP World Tour Championship,2023146,2023
DP World Tour Championship,2024142,2024
DP World Tour Championship,2025137,2025
"DP World Tour Championship, Dubai",2018090,2018
"DP World Tour Championship, Dubai",2019095,2019
"DP World Tour Championship, Dubai",2020098,2020
DP World Tour Qualifying (Final Stage),2023713,2023
DP World Tour Qualifying (Final Stage),2024714,2024
DP World Tour Qualifying (Final Stage),2025715,2025
DS Automobiles Italian Open,2021131,2021
DS Automobiles Italian Open,2022135,2022
DS Automobiles Italian Open,2023117,2023
Dallas,1031,2025
Dallas (Team Final—Stroke Play),37,2024
Danish Golf Championship,2024145,2024
Danish Golf Championship,2025126,2025
Dell Technologies Championship,505,2018
Desert Classic,2,2019
Dubai Duty Free Irish Open,2019058,2019
Dubai Duty Free Irish Open,2020046,2020
Dubai Duty Free Irish Open,2021120,2021
Dubai Duty Free Irish Open hosted by the Rory Foundation,2018056,2018
Dubai Invitational,2024106,2024
Dubai Invitational,2026105,2026
Dutch Open,2021133,2021
Dutch Open,2022117,2022
English Championship,2020005,2020
Estrella Damm N.A. Andalucia Masters,2020038,2020
Estrella Damm N.A. Andalucía  Masters,2022139,2022
Estrella Damm N.A. Andalucía  Masters,2023149,2023
Estrella Damm N.A. Andalucía  Masters,2024139,2024
Estrella Damm N.A. Andalucía Masters,2021137,2021
Estrella Damm N.A. Andalucía Masters hosted by the Sergio Garcia Foundation,2019056,2019
Euram Bank Open,2020732,2020
European Open,2024121,2024
Farmers Insurance Open,4,2018
FedEx Open de France,2024138,2024
FedEx Open de France,2025131,2025
FedEx St. Jude Championship,27,2022
FedEx St. Jude Classic,25,2018
Fiji International presented by Fiji Airways,2018065,2018
Fort Worth Invitational,21,2018
Fortinet Australian PGA Championship,2023100,2022
Fortinet Australian PGA Championship,2024100,2023
Fortinet Championship,464,2021
Fortinet Championship #2,543,2023
Genesis Championship,2024118,2024
Genesis Championship,2025135,2025
Genesis Open,7,2018
Genesis Scottish Open,541,2022
Golf in Dubai Championship presented by DP World,2020106,2020
Gran Canaria Lopesan Open,2021110,2021
Greenbrier,1017,2023
HNA Open de France,2018054,2018
Hainan Classic,2025139,2025
Hero Dubai Desert Classic,2023108,2023
Hero Dubai Desert Classic,2024107,2024
Hero Dubai Desert Classic,2025106,2025
Hero Dubai Desert Classic,2026106,2026
Hero Indian Open,2018022,2018
Hero Indian Open,2019031,2019
Hero Indian Open,2023112,2023
Hero Indian Open,2024114,2024
Hero Indian Open,2025113,2025
Hero Open,2020004,2020
Hero Open,2021126,2021
Hero Open,2022128,2022
Hero World Challenge,478,2018
Hero World Challenge #2,550,2023
Hewlett Packard Enterprise Houston Open,20,2021
Hong Kong,1020,2024
Honma Hong Kong Open presented by Amundi,2019000,2018
Horizon Irish Open,2022122,2022
Horizon Irish Open,2023138,2023
Houston,1022,2024
Houston Open,20,2018
ISCO Championship,518,2024
ISPS HANDA - CHAMPIONSHIP,2023120,2023
ISPS HANDA - CHAMPIONSHIP,2024117,2024
ISPS HANDA UK Championship,2020011,2020
ISPS HANDA Wales Open,2020009,2020
ISPS HANDA World Invitational presented by Modest! Golf Management,2021124,2021
ISPS Handa Australian Open,2023102,2022
ISPS Handa Australian Open,2024102,2023
ISPS Handa Australian Open,2025101,2024
ISPS Handa Championship in Spain,2022149,2022
ISPS Handa Vic Open,2019016,2019
ISPS Handa Vic Open,2020014,2020
ISPS Handa World Invitational presented by AVIV Clinics,2022130,2022
ISPS Handa World Invitational presented by AVIV Clinics,2023135,2023
ISPS Handa World Super 6 Perth,2019018,2019
Indianapolis,1032,2025
Investec South African Open Championship,2023103,2022
Investec South African Open Championship,2024103,2023
Investec South African Open Championship,2025110,2025
Italian Open,2018046,2018
Italian Open,2019086,2019
Italian Open,2020086,2020
Italian Open,2025119,2025
Italian Open presented by Regione Emilia-Romagna,2024125,2024
Jeddah,1007,2022
Joburg Open,2020103,2020
Joburg Open,2022100,2021
Joburg Open,2023101,2022
Joburg Open,2024101,2023
Joburg Open,2025111,2025
John Deere Classic,30,2018
Jonsson Workwear Open,2023119,2023
Jonsson Workwear Open,2024112,2024
KLM Open,2018076,2018
KLM Open,2019078,2019
KLM Open,2023124,2023
KLM Open,2024124,2024
KLM Open,2025118,2025
Kenya Savannah Classic,2021148,2021
Korea,1029,2025
Korea Championship Presented by Genesis,2023121,2023
Las Vegas,1019,2024
London,1001,2022
Made In Denmark,2018072,2018
Made in Denmark presented by FREJA,2019046,2019
Made in HimmerLand,2022133,2022
Made in HimmerLand,2023130,2023
Made in HimmerLand presented by FREJA,2021115,2021
Magical Kenya Open,2021106,2021
Magical Kenya Open,2022108,2022
Magical Kenya Open,2023114,2023
Magical Kenya Open,2024110,2024
Magical Kenya Open,2025109,2025
Magical Kenya Open presented by Absa,2019026,2019
Mallorca Golf Open,2021155,2021
Mallorca Golf Open,2022140,2022
Masters Tournament,14,2018
Mayakoba,1009,2023
Mayakoba Golf Classic,457,2018
Mayakoba Golf Classic presented by UNIFIN,457,2020
Maybank Championship,2018012,2018
Maybank Championship,2019028,2019
Mexico City,1028,2025
Mexico Open at Vidanta,540,2022
Mexico Open at VidantaWorld,540,2025
Miami,1021,2024
Miami (Team Final—Stroke Play),8,2022
Miami (Team Final—Stroke Play),22,2023
Michigan (Team Final—Stroke Play),52,2025
Mutuactivos Open de España,2019084,2019
MyGolfLife Open hosted by Pecanwood,2022146,2022
Myrtle Beach Classic,553,2024
NBO Oman Open,2018016,2018
Nashville,1023,2024
Nedbank Golf Challenge,2022145,2022
Nedbank Golf Challenge,2023145,2023
Nedbank Golf Challenge,2025102,2024
Nedbank Golf Challenge hosted by Gary Player,2018089,2018
Nedbank Golf Challenge hosted by Gary Player,2019094,2019
Nexo Championship,2025125,2025
Nordea Masters,2018068,2018
ONEflight Myrtle Beach Classic,553,2025
Olympic Men's Golf Competition,519,2021
Oman Open,2019022,2019
Oman Open,2020020,2020
Omega Dubai Desert Classic,2018010,2018
Omega Dubai Desert Classic,2019012,2019
Omega Dubai Desert Classic,2020010,2020
Omega Dubai Desert Classic,2021102,2021
Omega European Masters,2018074,2018
Omega European Masters,2019074,2019
Omega European Masters,2021130,2021
Omega European Masters,2022132,2022
Omega European Masters,2023137,2023
Omega European Masters,2024133,2024
Omega European Masters,2025128,2025
Open de España,2018032,2018
Open de España presented by Madrid,2025134,2025
Open de Portugal at Royal Óbidos,2020750,2020
Orlando,1011,2023
PGA Championship,33,2018
PGA TOUR Q-School presented by Korn Ferry,88,2023
Palmetto Championship at Congaree,538,2021
Porsche European Open,2018062,2018
Porsche European Open,2019076,2019
Porsche European Open,2021116,2021
Porsche European Open,2022118,2022
Porsche European Open,2023125,2023
Porsche Singapore Classic,2024113,2024
Porsche Singapore Classic,2025112,2025
Portland,1002,2022
Portugal Masters,2018078,2018
Portugal Masters,2019090,2019
Portugal Masters,2020090,2020
Portugal Masters,2021156,2021
Portugal Masters,2022156,2022
Procore Championship,464,2024
Promotions Event,1018,2023
Puerto Rico Open,483,2019
Quicken Loans National,471,2018
RBC Canadian Open,32,2018
RBC Heritage,12,2018
Ras Al Khaimah Championship,2023109,2023
Ras Al Khaimah Championship,2024108,2024
Ras Al Khaimah Championship,2025107,2025
Ras al Khaimah Championship presented by Phoenix Capital,2022105,2022
Ras al Khaimah Classic,2022148,2022
Riyadh,1027,2025
Rocco Forte Sicilian Open,2018040,2018
Rocket Classic,524,2025
Rocket Mortgage Classic,524,2019
SDC Championship,2023118,2023
SDC Championship,2024111,2024
SL LINK Elite Invitational,11109,2025
Safeway Open,464,2018
Sanderson Farms Championship,54,2018
Sanderson Farms Championship #2,544,2023
Saudi International powered by SBIA,2019014,2019
Saudi International powered by SoftBank Investment Advisers,2021103,2021
Saudi International powered by SoftBank Investment Advisors,2020012,2020
Scandinavian Invitation,2019072,2019
Scandinavian Mixed Hosted by Henrik & Annika,2021117,2021
Scottish Championship,2020102,2020
Sentry Tournament of Champions,16,2018
Shot Clock Masters,2018048,2018
Shriners Children's Open,47,2021
Shriners Children's Open #2,545,2023
Shriners Hospitals for Children Open,47,2018
Singapore,1013,2023
Singapore Classic,2023110,2023
Sky Sports British Masters,2018082,2018
Slync.io Dubai Desert Classic,2022104,2022
Sony Open in Hawaii,6,2018
Soudal Open,2022115,2022
Soudal Open,2023122,2023
Soudal Open,2024120,2024
Soudal Open,2025117,2025
South African Open,2020105,2020
South African Open hosted by the City of Johannesburg,2019004,2018
South African Open hosted by the City of Johannesburg,2020006,2020
Steyn City Championship,2022147,2022
Sun Flower & TPGA Championship,10831,2025
THE CJ CUP @ NINE BRIDGES,521,2018
THE CJ CUP @ SHADOW CREEK,521,2020
THE CJ CUP @ SUMMIT,521,2021
THE CJ CUP Byron Nelson,19,2024
THE CJ CUP in South Carolina,521,2022
THE NORTHERN TRUST,27,2018
THE PLAYERS Championship,11,2018
TOUR Championship,60,2018
Tenerife Open,2021109,2021
Texas Children's Houston Open,20,2024
Thailand Classic,2023111,2023
The American Express,2,2020
The Genesis Invitational,7,2020
The Honda Classic,10,2018
The Masters,14,2019
The Masters #2,536,2021
The Open Championship,100,2018
The RSM Classic,493,2018
The RSM Classic #2,549,2023
The Sentry,16,2024
Travelers Championship,34,2018
Trophee Hassan II,2018034,2018
Trophee Hassan II,2019038,2019
Truist Championship,480,2025
Trustgolf Asian Mixed,10952,2025
Trustgolf Asian Mixed 2,10988,2025
Trustgolf Asian Mixed 3,11004,2025
Tshwane Open,2018021,2018
Tucson,1010,2023
Tulsa,1014,2023
Turkish Airlines Open,2018088,2018
Turkish Airlines Open,2019093,2019
Turkish Airlines Open,2025140,2025
U.S. Open,26,2018
U.S. Open #2,535,2021
United Kingdom,1025,2024
Valderrama,1016,2023
Valero Texas Open,41,2018
Valspar Championship,475,2018
Virginia,1030,2025
Vivint Houston Open,20,2020
Volvo Car Scandinavian Mixed,2022119,2022
Volvo Car Scandinavian Mixed,2023126,2023
Volvo Car Scandinavian Mixed,2024122,2024
Volvo China Open,2018036,2018
Volvo China Open,2019040,2019
Volvo China Open,2024116,2024
Volvo China Open,2025115,2025
WM Phoenix Open,3,2022
Waste Management Phoenix Open,3,2018
Wells Fargo Championship,480,2018
Workday Charity Open,533,2020
World Golf Championships-Bridgestone Invitational,476,2018
World Golf Championships-FedEx St. Jude Invitational,476,2019
World Golf Championships-HSBC Champions,489,2018
World Golf Championships-Mexico Championship,473,2018
World Golf Championships-Workday Championship at The Concession,473,2021
World Wide Technology Championship,457,2024
World Wide Technology Championship #2,547,2023
World Wide Technology Championship at Mayakoba,457,2021
Wyndham Championship,13,2018
ZOZO CHAMPIONSHIP,527,2019
ZOZO CHAMPIONSHIP #2,546,2023
ZOZO CHAMPIONSHIP @ SHERWOOD,527,2020
Zurich Classic of New Orleans,18,2023
abrdn Scottish Open,2021121,2021
acciona Open de España presented by Madrid,2022138,2022
acciona Open de España presented by Madrid,2023143,2023
acciona Open de España presented by Madrid,2024136,2024
the Memorial Tournament presented by Nationwide,23,2018
the Memorial Tournament presented by Workday,23,2022
