username,entryId,eventName,eventDate,selection,winnings
ADmun,m3h8gxx,Sony Open in Hawaii,2026-01-15,Nicolas Echavarria,0.00
AKsREVENGE,oohwwvx,Sony Open in Hawaii,2026-01-15,J.J. Spaun,31522.00
andylicious,78ho83z,Sony Open in Hawaii,2026-01-15,Robert MacIntyre,409500.00
balvari,0dh4357,Sony Open in Hawaii,2026-01-15,Corey Conners,72475.00
Bdavis7916,k6hyezx,Sony Open in Hawaii,2026-01-15,Keegan Bradley,0.00
BigBoKnows,53h0gr5,Sony Open in Hawaii,2026-01-15,Ryan Gerard,991900.00
BigCat97,8vh9q4n,Sony Open in Hawaii,2026-01-15,Russell Henley,111839.00
bpark88,36hm5ov,Sony Open in Hawaii,2026-01-15,Ben Griffin,111839.00
Cdimming,8vh9jk5,Sony Open in Hawaii,2026-01-15,Aaron Rai,22404.00
Cjlemoin,gkh3m67,Sony Open in Hawaii,2026-01-15,Nicolas Echavarria,0.00
DKWoods,wrhv6kg,Sony Open in Hawaii,2026-01-15,Russell Henley,111839.00
Dreamweaver816,78hz953,Sony Open in Hawaii,2026-01-15,Daniel Berger,287105.00
Enicola0922,m3h6yyp,Sony Open in Hawaii,2026-01-15,Corey Conners,72475.00
FlyingArmbar,p8hnkv6,Sony Open in Hawaii,2026-01-15,Mac Meissner,31522.00
GH23,erhw7xv,Sony Open in Hawaii,2026-01-15,Nick Taylor,163042.00
GlizzyAtTheTurn,0dhkr87,Sony Open in Hawaii,2026-01-15,Si Woo Kim,220675.00
GopherHockey19,m3h87mr,Sony Open in Hawaii,2026-01-15,J.J. Spaun,31522.00
halliam1114,p8hdz40,Sony Open in Hawaii,2026-01-15,Si Woo Kim,220675.00
Jackson1441,43h9m9d,Sony Open in Hawaii,2026-01-15,Corey Conners,72475.00
JLUDEOBV,43h9376,Sony Open in Hawaii,2026-01-15,Harry Hall,287105.00
jonescurtisw,dnhzxey,Sony Open in Hawaii,2026-01-15,Hideki Matsuyama,163042.00
jtsalvetti,vnh36vq,Sony Open in Hawaii,2026-01-15,Russell Henley,111839.00
Jwhit25,53he4g4,Sony Open in Hawaii,2026-01-15,Denny McCarthy,31522.00
Kbhoff,36hmp75,Sony Open in Hawaii,2026-01-15,Russell Henley,111839.00
kotsko,36hmm9z,Sony Open in Hawaii,2026-01-15,Keegan Bradley,0.00
Kriegs,m3h6nm8,Sony Open in Hawaii,2026-01-15,Nick Taylor,163042.00
linkcalhoun,p8hd469,Sony Open in Hawaii,2026-01-15,Russell Henley,111839.00
Mbrowder,nehqwrq,Sony Open in Hawaii,2026-01-15,Chris Kirk,0.00
MWalker9,53h0vzo,Sony Open in Hawaii,2026-01-15,Hideki Matsuyama,163042.00
newcastle21,8vh9ek9,Sony Open in Hawaii,2026-01-15,Chris Kirk,0.00
Nikopmelis,36hmn6j,Sony Open in Hawaii,2026-01-15,Russell Henley,111839.00
one007,x0h7nzj,Sony Open in Hawaii,2026-01-15,Jake Knapp,220675.00
Ottomatic,r8h6myq,Sony Open in Hawaii,2026-01-15,Ben Griffin,111839.00
pbyrne11,wrhmp93,Sony Open in Hawaii,2026-01-15,Aaron Rai,22404.00
picksixer360,m3h8mey,Sony Open in Hawaii,2026-01-15,J.J. Spaun,31522.00
Pjh5165,36hm6vj,Sony Open in Hawaii,2026-01-15,Si Woo Kim,220675.00
Ponta01,x0h7wo6,Sony Open in Hawaii,2026-01-15,Si Woo Kim,220675.00
Rjsut727,erh7z6m,Sony Open in Hawaii,2026-01-15,Hideki Matsuyama,163042.00
Rye1987,36hm5jq,Sony Open in Hawaii,2026-01-15,Chris Kirk,0.00
SJUPRIDE10,64hmvvv,Sony Open in Hawaii,2026-01-15,Russell Henley,111839.00
Skibasher,m3h6p00,Sony Open in Hawaii,2026-01-15,Russell Henley,111839.00
Sullivanchris01,53hepg6,Sony Open in Hawaii,2026-01-15,Jake Knapp,220675.00
talktob,vnh4gw5,Sony Open in Hawaii,2026-01-15,Maverick McNealy,72475.00
Tbargie,dnhzpdq,Sony Open in Hawaii,2026-01-15,Collin Morikawa,0.00
ThePME,36hogo7,Sony Open in Hawaii,2026-01-15,Ben Griffin,111839.00
tice0101,x0h73j9,Sony Open in Hawaii,2026-01-15,J.J. Spaun,31522.00
Tiger4040,wrhm9kd,Sony Open in Hawaii,2026-01-15,Brian Harman,19929.00
Walshy0104,m3h80k9,Sony Open in Hawaii,2026-01-15,Russell Henley,111839.00
Zsather,nehqkoz,Sony Open in Hawaii,2026-01-15,Russell Henley,111839.00
ADmun,m3h8gxx,The American Express,2026-01-22,Sepp Straka,0.00
AKsREVENGE,oohwwvx,The American Express,2026-01-22,Robert MacIntyre,39100.00
andylicious,78ho83z,The American Express,2026-01-22,Daniel Berger,20884.00
balvari,0dh4357,The American Express,2026-01-22,Si Woo Kim,322000.00
Bdavis7916,k6hyezx,The American Express,2026-01-22,Harry Hall,81420.00
BigBoKnows,53h0gr5,The American Express,2026-01-22,Pierceson Coody,117607.00
BigCat97,8vh9q4n,The American Express,2026-01-22,Pierceson Coody,117607.00
bpark88,36hm5ov,The American Express,2026-01-22,Harry Hall,81420.00
Cdimming,8vh9jk5,The American Express,2026-01-22,Ben Griffin,81420.00
Cjlemoin,gkh3m67,The American Express,2026-01-22,Harry Hall,81420.00
DKWoods,wrhv6kg,The American Express,2026-01-22,Si Woo Kim,322000.00
Dreamweaver816,78hz953,The American Express,2026-01-22,Ben Griffin,81420.00
Enicola0922,m3h6yyp,The American Express,2026-01-22,Patrick Cantlay,169740.00
FlyingArmbar,p8hnkv6,The American Express,2026-01-22,Alex Noren,0.00
GH23,erhw7xv,The American Express,2026-01-22,Max Greyserman,20884.00
GlizzyAtTheTurn,0dhkr87,The American Express,2026-01-22,Patrick Cantlay,169740.00
GopherHockey19,m3h87mr,The American Express,2026-01-22,Ben Griffin,81420.00
halliam1114,p8hdz40,The American Express,2026-01-22,Kurt Kitayama,0.00
Jackson1441,43h9m9d,The American Express,2026-01-22,Sepp Straka,0.00
JLUDEOBV,43h9376,The American Express,2026-01-22,Si Woo Kim,322000.00
jonescurtisw,dnhzxey,The American Express,2026-01-22,Patrick Cantlay,169740.00
jtsalvetti,vnh36vq,The American Express,2026-01-22,Patrick Cantlay,169740.00
Jwhit25,53he4g4,The American Express,2026-01-22,Ben Griffin,81420.00
Kbhoff,36hmp75,The American Express,2026-01-22,Si Woo Kim,322000.00
kotsko,36hmm9z,The American Express,2026-01-22,Russell Henley,250700.00
Kriegs,m3h6nm8,The American Express,2026-01-22,J.T. Poston,39100.00
linkcalhoun,p8hd469,The American Express,2026-01-22,Ben Griffin,81420.00
Mbrowder,nehqwrq,The American Express,2026-01-22,Si Woo Kim,322000.00
MWalker9,53h0vzo,The American Express,2026-01-22,Daniel Berger,20884.00
newcastle21,8vh9ek9,The American Express,2026-01-22,Si Woo Kim,322000.00
Nikopmelis,36hmn6j,The American Express,2026-01-22,Harry Hall,81420.00
one007,x0h7nzj,The American Express,2026-01-22,Max Greyserman,20884.00
Ottomatic,r8h6myq,The American Express,2026-01-22,Christiaan Bezuidenhout,39100.00
pbyrne11,wrhmp93,The American Express,2026-01-22,Harry Hall,81420.00
picksixer360,m3h8mey,The American Express,2026-01-22,Daniel Berger,20884.00
Pjh5165,36hm6vj,The American Express,2026-01-22,Sam Burns,57918.00
Ponta01,x0h7wo6,The American Express,2026-01-22,Matt Fitzpatrick,19688.00
Rjsut727,erh7z6m,The American Express,2026-01-22,Russell Henley,250700.00
Rye1987,36hm5jq,The American Express,2026-01-22,Daniel Berger,20884.00
SJUPRIDE10,64hmvvv,The American Express,2026-01-22,Michael Thorbjornsen,0.00
Skibasher,m3h6p00,The American Express,2026-01-22,Kurt Kitayama,0.00
Sullivanchris01,53hepg6,The American Express,2026-01-22,Rasmus Hojgaard,25377.00
talktob,vnh4gw5,The American Express,2026-01-22,Russell Henley,250700.00
Tbargie,dnhzpdq,The American Express,2026-01-22,Si Woo Kim,322000.00
ThePME,36hogo7,The American Express,2026-01-22,Russell Henley,250700.00
tice0101,x0h73j9,The American Express,2026-01-22,Ben Griffin,81420.00
Tiger4040,wrhm9kd,The American Express,2026-01-22,Daniel Berger,20884.00
Walshy0104,m3h80k9,The American Express,2026-01-22,Harry Hall,81420.00
Zsather,nehqkoz,The American Express,2026-01-22,Ryan Gerard,616400.00
ADmun,m3h8gxx,Farmers Insurance Open,2026-01-29,Jason Day,41760.00
AKsREVENGE,oohwwvx,Farmers Insurance Open,2026-01-29,Si Woo Kim,726400.00
andylicious,78ho83z,Farmers Insurance Open,2026-01-29,Wyndham Clark,20352.00
balvari,0dh4357,Farmers Insurance Open,2026-01-29,Sam Stevens,56280.00
Bdavis7916,k6hyezx,Farmers Insurance Open,2026-01-29,Jason Day,41760.00
BigBoKnows,53h0gr5,Farmers Insurance Open,2026-01-29,Nicolai Hojgaard,92640.00
BigCat97,8vh9q4n,Farmers Insurance Open,2026-01-29,Taylor Pendrith,0.00
bpark88,36hm5ov,Farmers Insurance Open,2026-01-29,Will Zalatoris,0.00
Cdimming,8vh9jk5,Farmers Insurance Open,2026-01-29,Chris Gotterup,132000.00
Cjlemoin,gkh3m67,Farmers Insurance Open,2026-01-29,Jake Knapp,370800.00
DKWoods,wrhv6kg,Farmers Insurance Open,2026-01-29,Ludvig Aberg,0.00
Dreamweaver816,78hz953,Farmers Insurance Open,2026-01-29,Jason Day,41760.00
Enicola0922,m3h6yyp,Farmers Insurance Open,2026-01-29,Harris English,92640.00
FlyingArmbar,p8hnkv6,Farmers Insurance Open,2026-01-29,Jake Knapp,370800.00
GH23,erhw7xv,Farmers Insurance Open,2026-01-29,Will Zalatoris,0.00
GlizzyAtTheTurn,0dhkr87,Farmers Insurance Open,2026-01-29,Jason Day,41760.00
GopherHockey19,m3h87mr,Farmers Insurance Open,2026-01-29,Chris Gotterup,132000.00
halliam1114,p8hdz40,Farmers Insurance Open,2026-01-29,Hideki Matsuyama,193029.00
Jackson1441,43h9m9d,Farmers Insurance Open,2026-01-29,Maverick McNealy,261600.00
JLUDEOBV,43h9376,Farmers Insurance Open,2026-01-29,Jake Knapp,370800.00
jonescurtisw,dnhzxey,Farmers Insurance Open,2026-01-29,Si Woo Kim,726400.00
jtsalvetti,vnh36vq,Farmers Insurance Open,2026-01-29,Cameron Young,92640.00
Jwhit25,53he4g4,Farmers Insurance Open,2026-01-29,Maverick McNealy,261600.00
Kbhoff,36hmp75,Farmers Insurance Open,2026-01-29,Xander Schauffele,0.00
kotsko,36hmm9z,Farmers Insurance Open,2026-01-29,Si Woo Kim,726400.00
Kriegs,m3h6nm8,Farmers Insurance Open,2026-01-29,Jason Day,41760.00
linkcalhoun,p8hd469,Farmers Insurance Open,2026-01-29,Michael Thorbjornsen,132000.00
Mbrowder,nehqwrq,Farmers Insurance Open,2026-01-29,Jason Day,41760.00
MWalker9,53h0vzo,Farmers Insurance Open,2026-01-29,Maverick McNealy,261600.00
newcastle21,8vh9ek9,Farmers Insurance Open,2026-01-29,Will Zalatoris,0.00
Nikopmelis,36hmn6j,Farmers Insurance Open,2026-01-29,Chris Gotterup,132000.00
one007,x0h7nzj,Farmers Insurance Open,2026-01-29,Keith Mitchell,193029.00
Ottomatic,r8h6myq,Farmers Insurance Open,2026-01-29,Jason Day,41760.00
pbyrne11,wrhmp93,Farmers Insurance Open,2026-01-29,Jake Knapp,370800.00
picksixer360,m3h8mey,Farmers Insurance Open,2026-01-29,Will Zalatoris,0.00
Pjh5165,36hm6vj,Farmers Insurance Open,2026-01-29,Cameron Young,92640.00
Ponta01,x0h7wo6,Farmers Insurance Open,2026-01-29,Keegan Bradley,31264.00
Rjsut727,erh7z6m,Farmers Insurance Open,2026-01-29,Justin Rose,1728000.00
Rye1987,36hm5jq,Farmers Insurance Open,2026-01-29,Hideki Matsuyama,193029.00
SJUPRIDE10,64hmvvv,Farmers Insurance Open,2026-01-29,Jason Day,41760.00
Skibasher,m3h6p00,Farmers Insurance Open,2026-01-29,Hideki Matsuyama,193029.00
Sullivanchris01,53hepg6,Farmers Insurance Open,2026-01-29,Jason Day,41760.00
talktob,vnh4gw5,Farmers Insurance Open,2026-01-29,Jason Day,41760.00
Tbargie,dnhzpdq,Farmers Insurance Open,2026-01-29,Maverick McNealy,261600.00
ThePME,36hogo7,Farmers Insurance Open,2026-01-29,Maverick McNealy,261600.00
tice0101,x0h73j9,Farmers Insurance Open,2026-01-29,Ryan Gerard,193029.00
Tiger4040,wrhm9kd,Farmers Insurance Open,2026-01-29,Jason Day,41760.00
Walshy0104,m3h80k9,Farmers Insurance Open,2026-01-29,Chris Gotterup,132000.00
Zsather,nehqkoz,Farmers Insurance Open,2026-01-29,Hideki Matsuyama,193029.00
ADmun,m3h8gxx,WM Phoenix Open,2026-02-05,Si Woo Kim,439680.00
AKsREVENGE,oohwwvx,WM Phoenix Open,2026-02-05,Ben Griffin,62949.00
andylicious,78ho83z,WM Phoenix Open,2026-02-05,Cameron Young,34080.00
balvari,0dh4357,WM Phoenix Open,2026-02-05,Maverick McNealy,188000.00
Bdavis7916,k6hyezx,WM Phoenix Open,2026-02-05,Si Woo Kim,439680.00
BigBoKnows,53h0gr5,WM Phoenix Open,2026-02-05,Hideki Matsuyama,1046400.00
BigCat97,8vh9q4n,WM Phoenix Open,2026-02-05,Hideki Matsuyama,1046400.00
bpark88,36hm5ov,WM Phoenix Open,2026-02-05,Rickie Fowler,122720.00
Cdimming,8vh9jk5,WM Phoenix Open,2026-02-05,Si Woo Kim,439680.00
Cjlemoin,gkh3m67,WM Phoenix Open,2026-02-05,Maverick McNealy,188000.00
DKWoods,wrhv6kg,WM Phoenix Open,2026-02-05,Maverick McNealy,188000.00
Dreamweaver816,78hz953,WM Phoenix Open,2026-02-05,Maverick McNealy,188000.00
Enicola0922,m3h6yyp,WM Phoenix Open,2026-02-05,Cameron Young,34080.00
FlyingArmbar,p8hnkv6,WM Phoenix Open,2026-02-05,Maverick McNealy,188000.00
GH23,erhw7xv,WM Phoenix Open,2026-02-05,Jake Knapp,300000.00
GlizzyAtTheTurn,0dhkr87,WM Phoenix Open,2026-02-05,Sam Burns,0.00
GopherHockey19,m3h87mr,WM Phoenix Open,2026-02-05,Si Woo Kim,439680.00
halliam1114,p8hdz40,WM Phoenix Open,2026-02-05,Brooks Koepka,0.00
Jackson1441,43h9m9d,WM Phoenix Open,2026-02-05,Harry Hall,0.00
JLUDEOBV,43h9376,WM Phoenix Open,2026-02-05,Maverick McNealy,188000.00
jonescurtisw,dnhzxey,WM Phoenix Open,2026-02-05,Maverick McNealy,188000.00
jtsalvetti,vnh36vq,WM Phoenix Open,2026-02-05,Si Woo Kim,439680.00
Jwhit25,53he4g4,WM Phoenix Open,2026-02-05,Sahith Theegala,122720.00
Kbhoff,36hmp75,WM Phoenix Open,2026-02-05,Hideki Matsuyama,1046400.00
kotsko,36hmm9z,WM Phoenix Open,2026-02-05,Maverick McNealy,188000.00
Kriegs,m3h6nm8,WM Phoenix Open,2026-02-05,Si Woo Kim,439680.00
linkcalhoun,p8hd469,WM Phoenix Open,2026-02-05,Maverick McNealy,188000.00
Mbrowder,nehqwrq,WM Phoenix Open,2026-02-05,Sam Burns,0.00
MWalker9,53h0vzo,WM Phoenix Open,2026-02-05,Brooks Koepka,0.00
newcastle21,8vh9ek9,WM Phoenix Open,2026-02-05,Rickie Fowler,122720.00
Nikopmelis,36hmn6j,WM Phoenix Open,2026-02-05,Jordan Spieth,0.00
one007,x0h7nzj,WM Phoenix Open,2026-02-05,Cameron Young,34080.00
Ottomatic,r8h6myq,WM Phoenix Open,2026-02-05,Maverick McNealy,188000.00
pbyrne11,wrhmp93,WM Phoenix Open,2026-02-05,Pierceson Coody,242400.00
picksixer360,m3h8mey,WM Phoenix Open,2026-02-05,Maverick McNealy,188000.00
Pjh5165,36hm6vj,WM Phoenix Open,2026-02-05,Maverick McNealy,188000.00
Ponta01,x0h7wo6,WM Phoenix Open,2026-02-05,Hideki Matsuyama,1046400.00
Rjsut727,erh7z6m,WM Phoenix Open,2026-02-05,Cameron Young,34080.00
Rye1987,36hm5jq,WM Phoenix Open,2026-02-05,Si Woo Kim,439680.00
SJUPRIDE10,64hmvvv,WM Phoenix Open,2026-02-05,Si Woo Kim,439680.00
Skibasher,m3h6p00,WM Phoenix Open,2026-02-05,Cameron Young,34080.00
Sullivanchris01,53hepg6,WM Phoenix Open,2026-02-05,Sahith Theegala,122720.00
talktob,vnh4gw5,WM Phoenix Open,2026-02-05,Si Woo Kim,439680.00
Tbargie,dnhzpdq,WM Phoenix Open,2026-02-05,Jordan Spieth,0.00
ThePME,36hogo7,WM Phoenix Open,2026-02-05,Rickie Fowler,122720.00
tice0101,x0h73j9,WM Phoenix Open,2026-02-05,Maverick McNealy,188000.00
Tiger4040,wrhm9kd,WM Phoenix Open,2026-02-05,Hideki Matsuyama,1046400.00
Walshy0104,m3h80k9,WM Phoenix Open,2026-02-05,Jordan Spieth,0.00
Zsather,nehqkoz,WM Phoenix Open,2026-02-05,Si Woo Kim,439680.00
ADmun,m3h8gxx,AT&T Pebble Beach Pro-Am,2026-02-12,Justin Rose,78375.00
AKsREVENGE,oohwwvx,AT&T Pebble Beach Pro-Am,2026-02-12,Hideki Matsuyama,515000.00
andylicious,78ho83z,AT&T Pebble Beach Pro-Am,2026-02-12,Jason Day,162000.00
balvari,0dh4357,AT&T Pebble Beach Pro-Am,2026-02-12,Russell Henley,235000.00
Bdavis7916,k6hyezx,AT&T Pebble Beach Pro-Am,2026-02-12,Justin Rose,78375.00
BigBoKnows,53h0gr5,AT&T Pebble Beach Pro-Am,2026-02-12,Viktor Hovland,39750.00
BigCat97,8vh9q4n,AT&T Pebble Beach Pro-Am,2026-02-12,Si Woo Kim,57000.00
bpark88,36hm5ov,AT&T Pebble Beach Pro-Am,2026-02-12,Tommy Fleetwood,877500.00
Cdimming,8vh9jk5,AT&T Pebble Beach Pro-Am,2026-02-12,Justin Rose,78375.00
Cjlemoin,gkh3m67,AT&T Pebble Beach Pro-Am,2026-02-12,Russell Henley,235000.00
DKWoods,wrhv6kg,AT&T Pebble Beach Pro-Am,2026-02-12,Justin Rose,78375.00
Dreamweaver816,78hz953,AT&T Pebble Beach Pro-Am,2026-02-12,Sepp Straka,1760000.00
Enicola0922,m3h6yyp,AT&T Pebble Beach Pro-Am,2026-02-12,Scottie Scheffler,877500.00
FlyingArmbar,p8hnkv6,AT&T Pebble Beach Pro-Am,2026-02-12,Russell Henley,235000.00
GH23,erhw7xv,AT&T Pebble Beach Pro-Am,2026-02-12,Matt Fitzpatrick,342750.00
GlizzyAtTheTurn,0dhkr87,AT&T Pebble Beach Pro-Am,2026-02-12,Viktor Hovland,39750.00
GopherHockey19,m3h87mr,AT&T Pebble Beach Pro-Am,2026-02-12,Viktor Hovland,39750.00
halliam1114,p8hdz40,AT&T Pebble Beach Pro-Am,2026-02-12,Patrick Cantlay,342750.00
Jackson1441,43h9m9d,AT&T Pebble Beach Pro-Am,2026-02-12,Russell Henley,235000.00
JLUDEOBV,43h9376,AT&T Pebble Beach Pro-Am,2026-02-12,Jason Day,162000.00
jonescurtisw,dnhzxey,AT&T Pebble Beach Pro-Am,2026-02-12,Justin Rose,78375.00
jtsalvetti,vnh36vq,AT&T Pebble Beach Pro-Am,2026-02-12,Jason Day,162000.00
Jwhit25,53he4g4,AT&T Pebble Beach Pro-Am,2026-02-12,Cameron Young,42000.00
Kbhoff,36hmp75,AT&T Pebble Beach Pro-Am,2026-02-12,Collin Morikawa,3600000.00
kotsko,36hmm9z,AT&T Pebble Beach Pro-Am,2026-02-12,Daniel Berger,33125.00
Kriegs,m3h6nm8,AT&T Pebble Beach Pro-Am,2026-02-12,Justin Rose,78375.00
linkcalhoun,p8hd469,AT&T Pebble Beach Pro-Am,2026-02-12,Chris Gotterup,78375.00
Mbrowder,nehqwrq,AT&T Pebble Beach Pro-Am,2026-02-12,Viktor Hovland,39750.00
MWalker9,53h0vzo,AT&T Pebble Beach Pro-Am,2026-02-12,Justin Rose,78375.00
newcastle21,8vh9ek9,AT&T Pebble Beach Pro-Am,2026-02-12,Russell Henley,235000.00
Nikopmelis,36hmn6j,AT&T Pebble Beach Pro-Am,2026-02-12,Matt Fitzpatrick,342750.00
one007,x0h7nzj,AT&T Pebble Beach Pro-Am,2026-02-12,Justin Rose,78375.00
Ottomatic,r8h6myq,AT&T Pebble Beach Pro-Am,2026-02-12,Russell Henley,235000.00
pbyrne11,wrhmp93,AT&T Pebble Beach Pro-Am,2026-02-12,Russell Henley,235000.00
picksixer360,m3h8mey,AT&T Pebble Beach Pro-Am,2026-02-12,Shane Lowry,515000.00
Pjh5165,36hm6vj,AT&T Pebble Beach Pro-Am,2026-02-12,Viktor Hovland,39750.00
Ponta01,x0h7wo6,AT&T Pebble Beach Pro-Am,2026-02-12,Viktor Hovland,39750.00
Rjsut727,erh7z6m,AT&T Pebble Beach Pro-Am,2026-02-12,Viktor Hovland,39750.00
Rye1987,36hm5jq,AT&T Pebble Beach Pro-Am,2026-02-12,Justin Rose,78375.00
SJUPRIDE10,64hmvvv,AT&T Pebble Beach Pro-Am,2026-02-12,Justin Rose,78375.00
Skibasher,m3h6p00,AT&T Pebble Beach Pro-Am,2026-02-12,Si Woo Kim,57000.00
Sullivanchris01,53hepg6,AT&T Pebble Beach Pro-Am,2026-02-12,Scottie Scheffler,877500.00
talktob,vnh4gw5,AT&T Pebble Beach Pro-Am,2026-02-12,Scottie Scheffler,877500.00
Tbargie,dnhzpdq,AT&T Pebble Beach Pro-Am,2026-02-12,Sepp Straka,1760000.00
ThePME,36hogo7,AT&T Pebble Beach Pro-Am,2026-02-12,Tommy Fleetwood,877500.00
tice0101,x0h73j9,AT&T Pebble Beach Pro-Am,2026-02-12,Matt Fitzpatrick,342750.00
Tiger4040,wrhm9kd,AT&T Pebble Beach Pro-Am,2026-02-12,Russell Henley,235000.00
Walshy0104,m3h80k9,AT&T Pebble Beach Pro-Am,2026-02-12,Matt Fitzpatrick,342750.00
Zsather,nehqkoz,AT&T Pebble Beach Pro-Am,2026-02-12,Viktor Hovland,39750.00
ADmun,m3h8gxx,The Genesis Invitational,2026-02-19,Hideki Matsuyama,136500.00
AKsREVENGE,oohwwvx,The Genesis Invitational,2026-02-19,Scottie Scheffler,415000.00
andylicious,78ho83z,The Genesis Invitational,2026-02-19,Viktor Hovland,78000.00
balvari,0dh4357,The Genesis Invitational,2026-02-19,Scottie Scheffler,415000.00
Bdavis7916,k6hyezx,The Genesis Invitational,2026-02-19,Scottie Scheffler,415000.00
BigBoKnows,53h0gr5,The Genesis Invitational,2026-02-19,Cameron Young,603200.00
BigCat97,8vh9q4n,The Genesis Invitational,2026-02-19,Patrick Cantlay,92250.00
bpark88,36hm5ov,The Genesis Invitational,2026-02-19,Scottie Scheffler,415000.00
Cdimming,8vh9jk5,The Genesis Invitational,2026-02-19,Patrick Cantlay,92250.00
Cjlemoin,gkh3m67,The Genesis Invitational,2026-02-19,Xander Schauffele,603200.00
DKWoods,wrhv6kg,The Genesis Invitational,2026-02-19,Hideki Matsuyama,136500.00
